doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_BT2_1998_02_05.pdf,0,0,0,20,0,0,0,0,0,0,20
15_9_19_B_1997_11_10.pdf,0,23,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_11.pdf,134,77,0,0,0,0,0,0,0,0,1
15_9_19_B_1997_11_12.pdf,111,37,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_13.pdf,135,1,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_14.pdf,87,61,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_15.pdf,112,1,11,0,0,0,0,0,0,11,0
15_9_19_B_1997_11_16.pdf,108,74,25,0,0,0,0,0,0,24,0
15_9_19_B_1997_11_17.pdf,12,48,0,0,0,0,0,0,0,0,12
15_9_19_B_1997_11_18.pdf,150,29,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_19.pdf,81,63,0,0,0,0,0,0,0,0,10
15_9_19_B_1997_11_20.pdf,48,0,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_21.pdf,78,0,0,0,0,0,0,0,0,0,4
15_9_19_B_1997_11_22.pdf,182,0,0,0,0,0,0,0,0,0,32
15_9_19_B_1997_11_23.pdf,104,0,0,0,0,0,0,0,0,0,4
15_9_19_B_1997_11_24.pdf,67,79,44,0,0,88,0,0,0,33,0
15_9_19_B_1997_11_25.pdf,60,13,120,0,0,96,0,0,0,36,0
15_9_19_B_1997_11_26.pdf,13,170,84,12,0,12,0,0,0,0,72
15_9_19_B_1997_11_27.pdf,150,24,0,0,0,120,0,0,0,96,0
15_9_19_B_1997_11_28.pdf,122,24,0,0,0,72,0,0,0,36,0
15_9_19_B_1997_11_29.pdf,30,21,0,0,0,0,0,0,0,0,0
15_9_19_B_1997_11_30.pdf,86,120,0,0,0,12,0,0,12,0,0
15_9_19_B_1997_12_01.pdf,180,0,0,0,0,84,0,0,0,74,0
15_9_19_B_1997_12_02.pdf,216,38,24,0,0,120,0,0,0,36,0
15_9_19_B_1997_12_03.pdf,86,49,0,0,0,96,0,0,0,72,0
15_9_19_B_1997_12_04.pdf,157,74,12,0,0,132,0,12,12,60,0
15_9_19_B_1997_12_05.pdf,84,75,24,0,0,36,0,0,0,24,12
15_9_19_B_1997_12_06.pdf,100,24,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1992_12_19.pdf,60,0,0,10,0,0,0,0,0,10,0
15_9_19_ST2_1992_12_20.pdf,170,10,10,20,0,0,0,0,0,0,0
