doc_id,rank,keyword,tfidf_score
15_9_19_A_1997_08_13.pdf,4,corebarrel,0.176096
15_9_19_A_1997_08_13.pdf,5,cont rih,0.173588
15_9_19_A_1997_08_13.pdf,6,ream,0.171856
15_9_19_A_1997_08_13.pdf,7,btm,0.160757
15_9_19_A_1997_08_13.pdf,8,obstruction,0.156186
15_9_19_A_1997_08_13.pdf,9,reaming,0.147824
15_9_19_A_1997_08_13.pdf,10,take scr,0.143262
15_9_19_A_1997_08_13.pdf,11,content,0.143262
15_9_19_A_1997_08_13.pdf,12,correct,0.140422
15_9_19_A_1997_08_13.pdf,13,core,0.140422
15_9_19_A_1997_08_13.pdf,14,break circ,0.140053
15_9_19_A_1997_08_13.pdf,15,flo,0.140053
15_9_19_A_1997_08_14.pdf,1,core,0.213431
15_9_19_A_1997_08_14.pdf,2,cut core,0.177929
15_9_19_A_1997_08_14.pdf,3,csg window,0.170107
15_9_19_A_1997_08_14.pdf,4,core recovery,0.169797
15_9_19_A_1997_08_14.pdf,5,recovery,0.166365
15_9_19_A_1997_08_14.pdf,6,btm,0.157242
15_9_19_A_1997_08_14.pdf,7,corebarrel,0.15148
15_9_19_A_1997_08_14.pdf,8,coring,0.143098
15_9_19_A_1997_08_14.pdf,9,take scr,0.14013
15_9_19_A_1997_08_14.pdf,10,break circ,0.136991
15_9_19_A_1997_08_14.pdf,11,min stand,0.136991
15_9_19_A_1997_08_14.pdf,12,window,0.13659
15_9_19_A_1997_08_14.pdf,13,break,0.135846
15_9_19_A_1997_08_14.pdf,14,checked inside,0.134222
15_9_19_A_1997_08_14.pdf,15,bar press,0.134222
15_9_19_A_1997_08_15.pdf,1,corebarrel,0.200144
15_9_19_A_1997_08_15.pdf,2,core,0.18832
15_9_19_A_1997_08_15.pdf,3,coring,0.165092
15_9_19_A_1997_08_15.pdf,4,ppm,0.158293
15_9_19_A_1997_08_15.pdf,5,h2s,0.151363
15_9_19_A_1997_08_15.pdf,6,csg window,0.147526
15_9_19_A_1997_08_15.pdf,7,core recovery,0.147257
15_9_19_A_1997_08_15.pdf,8,recovery,0.144281
15_9_19_A_1997_08_15.pdf,9,cut core,0.141114
15_9_19_A_1997_08_15.pdf,10,held safety,0.141114
15_9_19_A_1997_08_15.pdf,11,gas,0.139823
15_9_19_A_1997_08_15.pdf,12,circ,0.138706
15_9_19_A_1997_08_15.pdf,13,rotate,0.131446
15_9_19_A_1997_08_15.pdf,14,current,0.125398
15_9_19_A_1997_08_15.pdf,15,gas max,0.121528
15_9_19_A_1997_08_16.pdf,1,core,0.208506
15_9_19_A_1997_08_16.pdf,2,ppm,0.198832
15_9_19_A_1997_08_16.pdf,3,declined,0.183898
15_9_19_A_1997_08_16.pdf,4,circ btm,0.179779
15_9_19_A_1997_08_16.pdf,5,corebarrel,0.175383
15_9_19_A_1997_08_16.pdf,6,max gas,0.163843
15_9_19_A_1997_08_16.pdf,7,csg window,0.158394
15_9_19_A_1997_08_16.pdf,8,core recovery,0.158105
15_9_19_A_1997_08_16.pdf,9,recovery,0.15491
15_9_19_A_1997_08_16.pdf,10,gas,0.153571
15_9_19_A_1997_08_16.pdf,11,coring,0.15151
15_9_19_A_1997_08_16.pdf,12,cut core,0.15151
15_9_19_A_1997_08_16.pdf,13,btm,0.146415
15_9_19_A_1997_08_16.pdf,14,circ,0.138862
15_9_19_A_1997_08_16.pdf,15,current,0.134636
15_9_19_A_1997_08_17.pdf,1,circulated btm,0.2124
15_9_19_A_1997_08_17.pdf,2,corebarrel,0.206909
15_9_19_A_1997_08_17.pdf,3,gas max,0.202786
15_9_19_A_1997_08_17.pdf,4,core,0.195183
15_9_19_A_1997_08_17.pdf,5,btm,0.170368
15_9_19_A_1997_08_17.pdf,6,pooh checked,0.168816
15_9_19_A_1997_08_17.pdf,7,coring,0.167071
15_9_19_A_1997_08_17.pdf,8,gas,0.156881
15_9_19_A_1997_08_17.pdf,9,max gas,0.154431
15_9_19_A_1997_08_17.pdf,10,declined,0.143883
15_9_19_A_1997_08_17.pdf,11,core recovery,0.14066
15_9_19_A_1997_08_17.pdf,12,present,0.14066
15_9_19_A_1997_08_17.pdf,13,h2s gas,0.14066
15_9_19_A_1997_08_17.pdf,14,current continued,0.137817
15_9_19_A_1997_08_17.pdf,15,recovery,0.137817
15_9_19_A_1997_08_18.pdf,1,corebarrel,0.223835
15_9_19_A_1997_08_18.pdf,2,core,0.206631
15_9_19_A_1997_08_18.pdf,3,recovered core,0.19888
15_9_19_A_1997_08_18.pdf,4,h2s gas,0.194425
15_9_19_A_1997_08_18.pdf,5,core recovery,0.194425
15_9_19_A_1997_08_18.pdf,6,recovery,0.190495
15_9_19_A_1997_08_18.pdf,7,h2s,0.175754
15_9_19_A_1997_08_18.pdf,8,csg window,0.171299
15_9_19_A_1997_08_18.pdf,9,gas,0.15386
15_9_19_A_1997_08_18.pdf,10,rih cut,0.148869
15_9_19_A_1997_08_18.pdf,11,over pull,0.145182
15_9_19_A_1997_08_18.pdf,12,cut core,0.1441
15_9_19_A_1997_08_18.pdf,13,gas max,0.141112
15_9_19_A_1997_08_18.pdf,14,weight indicator,0.141112
15_9_19_A_1997_08_18.pdf,15,declined,0.141112
15_9_19_A_1997_08_19.pdf,1,core,0.219362
15_9_19_A_1997_08_19.pdf,2,corebarrel,0.198767
15_9_19_A_1997_08_19.pdf,3,reamed tight,0.188438
15_9_19_A_1997_08_19.pdf,4,recovered core,0.161707
15_9_19_A_1997_08_19.pdf,5,core recovery,0.158084
15_9_19_A_1997_08_19.pdf,6,rih pumped,0.158084
15_9_19_A_1997_08_19.pdf,7,bop held,0.158084
15_9_19_A_1997_08_19.pdf,8,btm,0.1551
15_9_19_A_1997_08_19.pdf,9,recovery,0.154889
15_9_19_A_1997_08_19.pdf,10,ball seat,0.152031
15_9_19_A_1997_08_19.pdf,11,line continued,0.147085
15_9_19_A_1997_08_19.pdf,12,ball,0.145763
15_9_19_A_1997_08_19.pdf,13,seated,0.142903
15_9_19_A_1997_08_19.pdf,14,csg window,0.13928
15_9_19_A_1997_08_19.pdf,15,significant,0.137636
15_9_19_A_1997_08_20.pdf,1,uibop,0.260624
15_9_19_A_1997_08_20.pdf,2,actuator,0.16041
15_9_19_A_1997_08_20.pdf,3,corebarrel,0.148536
15_9_19_A_1997_08_20.pdf,4,pooh core,0.146692
15_9_19_A_1997_08_20.pdf,5,core recovery,0.146425
15_9_19_A_1997_08_20.pdf,6,core,0.146223
15_9_19_A_1997_08_20.pdf,7,pod,0.145452
15_9_19_A_1997_08_20.pdf,8,recovery,0.143465
15_9_19_A_1997_08_20.pdf,9,yellow pod,0.138923
15_9_19_A_1997_08_20.pdf,10,yellow,0.138923
15_9_19_A_1997_08_20.pdf,11,test plug,0.137803
15_9_19_A_1997_08_20.pdf,12,remote,0.123966
15_9_19_A_1997_08_20.pdf,13,gas max,0.120841
15_9_19_A_1997_08_20.pdf,14,recovered core,0.120841
15_9_19_A_1997_08_20.pdf,15,declined,0.120841
15_9_19_A_1997_08_21.pdf,1,uibop,0.323778
15_9_19_A_1997_08_21.pdf,2,new mwd,0.206341
15_9_19_A_1997_08_21.pdf,3,navidrill,0.201139
15_9_19_A_1997_08_21.pdf,4,ako degr,0.196633
15_9_19_A_1997_08_21.pdf,5,circulation each,0.192659
15_9_19_A_1997_08_21.pdf,6,current continued,0.192659
15_9_19_A_1997_08_21.pdf,7,washed rotated,0.189104
15_9_19_A_1997_08_21.pdf,8,performed check,0.189104
15_9_19_A_1997_08_21.pdf,9,whilst,0.185888
